,tH,tL,ave_tem
2019.03.27,21.0,12.0,16.5
2019.03.28,26.0,14.0,20.0
2019.03.29,29.0,16.0,22.5
2019.03.30,18.0,13.0,15.5
2019.03.31,15.0,12.0,13.5
2019.04.01,17.0,12.0,14.5
2019.04.02,16.0,12.0,14.0
2019.04.03,17.0,12.0,14.5
2019.04.04,21.0,11.0,16.0
2019.04.05,24.0,12.0,18.0
2019.04.06,29.0,15.0,22.0
2019.04.07,33.0,17.0,25.0
2019.04.08,31.0,18.0,24.5
2019.04.09,30.0,18.0,24.0
2019.04.10,20.0,15.0,17.5
2019.04.11,24.0,14.0,19.0
2019.04.12,26.0,17.0,21.5
2019.04.13,24.0,15.0,19.5
2019.04.14,19.0,14.0,16.5
2019.04.15,19.0,13.0,16.0
2019.04.16,27.0,14.0,20.5
2019.04.17,29.0,17.0,23.0
2019.04.18,29.0,19.0,24.0
2019.04.19,28.0,19.0,23.5
2019.04.20,23.0,17.0,20.0
2019.04.21,26.0,17.0,21.5
2019.04.22,28.0,18.0,23.0
2019.04.23,29.0,20.0,24.5
2019.04.24,31.0,21.0,26.0
2019.04.25,33.0,20.0,26.5
2019.04.26,33.0,22.0,27.5
2019.04.27,31.0,20.0,25.5
2019.04.28,23.0,16.0,19.5
2019.04.29,25.0,16.0,20.5
2019.04.30,26.0,17.0,21.5
2019.05.01,29.0,17.0,23.0
2019.05.02,25.0,17.0,21.0
2019.05.03,23.0,16.0,19.5
2019.05.04,23.0,16.0,19.5
2019.05.05,21.0,17.0,19.0
2019.05.06,18.0,13.0,15.5
2019.05.07,15.0,12.0,13.5
2019.05.08,20.0,13.0,16.5
2019.05.09,25.0,15.0,20.0
2019.05.10,27.0,17.0,22.0
2019.05.11,29.0,19.0,24.0
2019.05.12,26.0,17.0,21.5
2019.05.13,23.0,16.0,19.5
2019.05.14,23.0,17.0,20.0
2019.05.15,26.0,19.0,22.5
2019.05.16,28.0,20.0,24.0
2019.05.17,29.0,20.0,24.5
2019.05.18,29.0,21.0,25.0
2019.05.19,24.0,15.0,19.5
2019.05.20,17.0,14.0,15.5
2019.05.21,23.0,15.0,19.0
2019.05.22,27.0,15.0,21.0
2019.05.23,31.0,19.0,25.0
2019.05.24,27.0,20.0,23.5
2019.05.25,28.0,20.0,24.0
2019.05.26,30.0,21.0,25.5
2019.05.27,25.0,16.0,20.5
2019.05.28,21.0,16.0,18.5
2019.05.29,19.0,16.0,17.5
2019.05.30,24.0,16.0,20.0
2019.05.31,28.0,19.0,23.5
2019.06.01,29.0,18.0,23.5
2019.06.02,33.0,20.0,26.5
2019.06.03,35.0,21.0,28.0
2019.06.04,35.0,22.0,28.5
2019.06.05,29.0,20.0,24.5
2019.06.06,31.0,21.0,26.0
2019.06.07,32.0,22.0,27.0
2019.06.08,28.0,22.0,25.0
2019.06.09,28.0,21.0,24.5
2019.06.10,28.0,22.0,25.0
2019.06.11,25.0,20.0,22.5
2019.06.12,28.0,21.0,24.5
2019.06.13,31.0,21.0,26.0
2019.06.14,32.0,22.0,27.0
2019.06.15,24.0,20.0,22.0
2019.06.16,24.0,20.0,22.0
2019.06.17,23.0,20.0,21.5
2019.06.18,27.0,20.0,23.5
2019.06.19,29.0,22.0,25.5
2019.06.20,29.0,23.0,26.0
2019.06.21,28.0,22.0,25.0
2019.06.22,26.0,21.0,23.5
2019.06.23,26.0,21.0,23.5
2019.06.24,31.0,23.0,27.0
2019.06.25,25.0,21.0,23.0
2019.06.26,27.0,23.0,25.0
2019.06.27,27.0,21.0,24.0
2019.06.28,23.0,20.0,21.5
2019.06.29,27.0,20.0,23.5
2019.06.30,28.0,21.0,24.5
2019.07.01,34.0,22.0,28.0
2019.07.02,35.0,23.0,29.0
2019.07.03,33.0,22.0,27.5
2019.07.04,26.0,21.0,23.5
2019.07.05,30.0,19.0,24.5
2019.07.06,32.0,23.0,27.5
2019.07.07,27.0,21.0,24.0
2019.07.08,25.0,20.0,22.5
2019.07.09,30.0,20.0,25.0
2019.07.10,33.0,22.0,27.5
2019.07.11,31.0,21.0,26.0
2019.07.12,31.0,22.0,26.5
2019.07.13,32.0,22.0,27.0
2019.07.14,34.0,24.0,29.0
2019.07.15,33.0,23.0,28.0
2019.07.16,27.0,22.0,24.5
2019.07.17,29.0,22.0,25.5
2019.07.18,29.0,23.0,26.0
2019.07.19,31.0,24.0,27.5
2019.07.20,30.0,23.0,26.5
2019.07.21,34.0,25.0,29.5
2019.07.22,32.0,23.0,27.5
2019.07.23,27.0,22.0,24.5
2019.07.24,31.0,23.0,27.0
2019.07.25,32.0,23.0,27.5
2019.07.26,35.0,25.0,30.0
2019.07.27,36.0,26.0,31.0
2019.07.28,36.0,26.0,31.0
2019.07.29,36.0,24.0,30.0
2019.07.30,30.0,23.0,26.5
2019.07.31,32.0,23.0,27.5
2019.08.01,34.0,24.0,29.0
2019.08.02,35.0,25.0,30.0
2019.08.03,33.0,24.0,28.5
2019.08.04,32.0,23.0,27.5
2019.08.05,32.0,24.0,28.0
2019.08.06,28.0,22.0,25.0
2019.08.07,31.0,23.0,27.0
2019.08.08,33.0,24.0,28.5
2019.08.09,33.0,23.0,28.0
2019.08.10,34.0,23.0,28.5
2019.08.11,35.0,23.0,29.0
2019.08.12,34.0,24.0,29.0
2019.08.13,36.0,24.0,30.0
2019.08.14,36.0,23.0,29.5
2019.08.15,34.0,23.0,28.5
2019.08.16,36.0,24.0,30.0
2019.08.17,38.0,25.0,31.5
2019.08.18,37.0,26.0,31.5
2019.08.19,37.0,25.0,31.0
2019.08.20,37.0,25.0,31.0
2019.08.21,37.0,25.0,31.0
2019.08.22,38.0,25.0,31.5
2019.08.23,36.0,24.0,30.0
2019.08.24,38.0,25.0,31.5
2019.08.25,38.0,26.0,32.0
2019.08.26,38.0,25.0,31.5
2019.08.27,35.0,23.0,29.0
2019.08.28,27.0,21.0,24.0
2019.08.29,32.0,21.0,26.5
2019.08.30,34.0,20.0,27.0
2019.08.31,24.0,18.0,21.0
2019.09.01,27.0,19.0,23.0
2019.09.02,29.0,21.0,25.0
2019.09.03,29.0,21.0,25.0
2019.09.04,30.0,22.0,26.0
2019.09.05,32.0,23.0,27.5
2019.09.06,33.0,23.0,28.0
2019.09.07,29.0,23.0,26.0
2019.09.08,26.0,21.0,23.5
2019.09.09,28.0,23.0,25.5
2019.09.10,29.0,23.0,26.0
2019.09.11,30.0,24.0,27.0
2019.09.12,34.0,24.0,29.0
2019.09.13,31.0,18.0,24.5
2019.09.14,21.0,17.0,19.0
2019.09.15,21.0,19.0,20.0
2019.09.16,22.0,18.0,20.0
2019.09.17,20.0,18.0,19.0
2019.09.18,21.0,18.0,19.5
2019.09.19,21.0,17.0,19.0
2019.09.20,22.0,15.0,18.5
2019.09.21,27.0,17.0,22.0
2019.09.22,29.0,16.0,22.5
2019.09.23,29.0,18.0,23.5
2019.09.24,24.0,16.0,20.0
2019.09.25,24.0,16.0,20.0
2019.09.26,26.0,16.0,21.0
2019.09.27,27.0,19.0,23.0
2019.09.28,30.0,18.0,24.0
2019.09.29,32.0,19.0,25.5
2019.09.30,31.0,20.0,25.5
2019.10.01,29.0,20.0,24.5
2019.10.02,27.0,20.0,23.5
2019.10.03,27.0,21.0,24.0
2019.10.04,24.0,19.0,21.5
2019.10.05,23.0,19.0,21.0
2019.10.06,23.0,17.0,20.0
2019.10.07,19.0,16.0,17.5
2019.10.08,20.0,16.0,18.0
2019.10.09,21.0,18.0,19.5
2019.10.10,18.0,16.0,17.0
2019.10.11,18.0,16.0,17.0
2019.10.12,20.0,16.0,18.0
2019.10.13,21.0,16.0,18.5
2019.10.14,18.0,15.0,16.5
2019.10.15,17.0,14.0,15.5
2019.10.16,20.0,15.0,17.5
2019.10.17,21.0,13.0,17.0
2019.10.18,24.0,13.0,18.5
2019.10.19,26.0,15.0,20.5
2019.10.20,22.0,15.0,18.5
2019.10.21,18.0,15.0,16.5
2019.10.22,17.0,14.0,15.5
2019.10.23,21.0,15.0,18.0
2019.10.24,21.0,15.0,18.0
2019.10.25,15.0,12.0,13.5
2019.10.26,13.0,12.0,12.5
2019.10.27,16.0,13.0,14.5
2019.10.28,20.0,10.0,15.0
2019.10.29,22.0,12.0,17.0
2019.10.30,22.0,13.0,17.5
2019.10.31,24.0,15.0,19.5
2019.11.01,20.0,14.0,17.0
2019.11.02,20.0,13.0,16.5
2019.11.03,22.0,13.0,17.5
2019.11.04,22.0,16.0,19.0
2019.11.05,18.0,12.0,15.0
2019.11.06,18.0,13.0,15.5
2019.11.07,20.0,12.0,16.0
2019.11.08,19.0,14.0,16.5
2019.11.09,18.0,12.0,15.0
2019.11.10,18.0,12.0,15.0
2019.11.11,19.0,13.0,16.0
2019.11.12,14.0,11.0,12.5
2019.11.13,18.0,10.0,14.0
2019.11.14,18.0,11.0,14.5
2019.11.15,21.0,13.0,17.0
2019.11.16,19.0,15.0,17.0
2019.11.17,16.0,8.0,12.0
2019.11.18,13.0,9.0,11.0
2019.11.19,12.0,8.0,10.0
2019.11.20,13.0,9.0,11.0
2019.11.21,16.0,11.0,13.5
2019.11.22,15.0,11.0,13.0
2019.11.23,14.0,11.0,12.5
2019.11.24,11.0,6.0,8.5
2019.11.25,8.0,6.0,7.0
2019.11.26,9.0,7.0,8.0
2019.11.27,11.0,7.0,9.0
2019.11.28,10.0,7.0,8.5
2019.11.29,9.0,7.0,8.0
2019.11.30,8.0,6.0,7.0
2019.12.01,11.0,5.0,8.0
2019.12.02,12.0,7.0,9.5
2019.12.03,12.0,6.0,9.0
2019.12.04,11.0,7.0,9.0
2019.12.05,12.0,4.0,8.0
2019.12.06,14.0,4.0,9.0
2019.12.07,15.0,6.0,10.5
2019.12.08,15.0,4.0,9.5
2019.12.09,14.0,6.0,10.0
2019.12.10,15.0,8.0,11.5
2019.12.11,15.0,10.0,12.5
2019.12.12,14.0,11.0,12.5
2019.12.13,13.0,9.0,11.0
2019.12.14,11.0,9.0,10.0
2019.12.15,13.0,10.0,11.5
2019.12.16,12.0,9.0,10.5
2019.12.17,10.0,7.0,8.5
2019.12.18,7.0,6.0,6.5
2019.12.19,8.0,6.0,7.0
2019.12.20,9.0,7.0,8.0
2019.12.21,9.0,6.0,7.5
2019.12.22,11.0,6.0,8.5
2019.12.23,11.0,8.0,9.5
2019.12.24,11.0,8.0,9.5
2019.12.25,10.0,6.0,8.0
2019.12.26,9.0,5.0,7.0
2019.12.27,9.0,6.0,7.5
2019.12.28,8.0,6.0,7.0
2019.12.29,10.0,5.0,7.5
2019.12.30,10.0,6.0,8.0
