,tH,tL,ave_tem
2019.01.01,6.0,2.0,4.0
2019.01.02,10.0,1.0,5.5
2019.01.03,7.0,3.0,5.0
2019.01.04,7.0,4.0,5.5
2019.01.05,10.0,2.0,6.0
2019.01.06,10.0,5.0,7.5
2019.01.07,12.0,4.0,8.0
2019.01.08,9.0,3.0,6.0
2019.01.09,7.0,4.0,5.5
2019.01.10,7.0,4.0,5.5
2019.01.11,10.0,3.0,6.5
2019.01.12,9.0,4.0,6.5
2019.01.13,11.0,2.0,6.5
2019.01.14,10.0,6.0,8.0
2019.01.15,7.0,4.0,5.5
2019.01.16,9.0,3.0,6.0
2019.01.17,12.0,4.0,8.0
2019.01.18,9.0,6.0,7.5
2019.01.19,12.0,6.0,9.0
2019.01.20,11.0,5.0,8.0
2019.01.21,11.0,1.0,6.0
2019.01.22,13.0,3.0,8.0
2019.01.23,13.0,4.0,8.5
2019.01.24,13.0,6.0,9.5
2019.01.25,12.0,7.0,9.5
2019.01.26,12.0,8.0,10.0
2019.01.27,11.0,7.0,9.0
2019.01.28,13.0,8.0,10.5
2019.01.29,9.0,7.0,8.0
2019.01.30,8.0,3.0,5.5
2019.01.31,11.0,6.0,8.5
2019.02.01,11.0,3.0,7.0
2019.02.02,13.0,5.0,9.0
2019.02.03,15.0,6.0,10.5
2019.02.04,15.0,7.0,11.0
2019.02.05,16.0,8.0,12.0
2019.02.06,16.0,7.0,11.5
2019.02.07,15.0,10.0,12.5
2019.02.08,11.0,6.0,8.5
2019.02.09,11.0,5.0,8.0
2019.02.10,8.0,4.0,6.0
2019.02.11,11.0,4.0,7.5
2019.02.12,14.0,6.0,10.0
2019.02.13,14.0,7.0,10.5
2019.02.14,13.0,7.0,10.0
2019.02.15,13.0,8.0,10.5
2019.02.16,13.0,7.0,10.0
2019.02.17,9.0,4.0,6.5
2019.02.18,9.0,4.0,6.5
2019.02.19,12.0,5.0,8.5
2019.02.20,13.0,7.0,10.0
2019.02.21,15.0,7.0,11.0
2019.02.22,16.0,8.0,12.0
2019.02.23,13.0,8.0,10.5
2019.02.24,15.0,8.0,11.5
2019.02.25,14.0,8.0,11.0
2019.02.26,13.0,7.0,10.0
2019.02.27,15.0,10.0,12.5
2019.02.28,15.0,9.0,12.0
2019.03.01,13.0,7.0,10.0
2019.03.02,14.0,7.0,10.5
2019.03.03,15.0,7.0,11.0
2019.03.04,17.0,3.0,10.0
2019.03.05,15.0,8.0,11.5
2019.03.06,15.0,9.0,12.0
2019.03.07,13.0,7.0,10.0
2019.03.08,13.0,7.0,10.0
2019.03.09,15.0,7.0,11.0
2019.03.10,21.0,8.0,14.5
2019.03.11,21.0,10.0,15.5
2019.03.12,19.0,10.0,14.5
2019.03.13,13.0,9.0,11.0
2019.03.14,17.0,9.0,13.0
2019.03.15,15.0,10.0,12.5
2019.03.16,17.0,10.0,13.5
2019.03.17,19.0,10.0,14.5
2019.03.18,21.0,11.0,16.0
2019.03.19,21.0,11.0,16.0
2019.03.20,26.0,12.0,19.0
2019.03.21,16.0,10.0,13.0
2019.03.22,11.0,7.0,9.0
2019.03.23,11.0,8.0,9.5
2019.03.24,14.0,8.0,11.0
2019.03.25,19.0,6.0,12.5
2019.03.26,20.0,10.0,15.0
