,tH,tL,aT
2011.9,25.33333333333333,18.76666666666667,22.049999999999997
2012.9,24.93333333333333,19.133333333333336,22.03333333333333
2013.9,25.300000000000004,18.76666666666667,22.03333333333334
2014.9,25.666666666666668,19.9,22.78333333333333
2015.9,24.933333333333337,19.166666666666668,22.050000000000004
2016.9,25.06666666666667,19.3,22.183333333333337
2017.9,24.699999999999996,19.46666666666667,22.083333333333332
2018.9,24.666666666666668,18.700000000000003,21.683333333333337
2019.9,26.1,18.733333333333334,22.416666666666668
